,Open_Time,Open,High,Low,Close,Volume,MA_9,MA_27,20sma,sDev,LowerBandBB,UpperBandBB,H-L,H-PC,L-PC,TR,ATR_20,UpperBandKCLow,LowerBandKCLow,UpperBandKCMid,LowerBandKCMid,UpperBandKCHigh,LowerBandKCHigh,preSqueeze,originalSqueeze,extrSqueeze,preSqueezeIn,preSqueezeOut,originalSqueezeIn,originalSqueezeOut,extrSqueezeIn,extrSqueezeOut,squeeze,max_high,min_low,MA_20,K,x,y,x2,xy,momo,val,dir,momentum,ACTION,Trigger
1214,20210520 19:09:00,1.015,1.0156,1.015,1.0156,980.0959961,1.0168298369478077,1.0169363404970437,1.018885,0.006106534463822445,1.006671931072355,1.031098068927645,0.000600000000000156,0.0025000000000001688,0.0019000000000000128,0.0025000000000001688,0.004714999999999992,1.028315,1.009455,1.0259575,1.0118125,1.0236,1.01417,False,False,False,False,False,False,False,False,False,green,1.0304,1.0093,1.0174993642299075,2.0373493642299074,1214,-0.003074682114953653,1473796,-3.7326640875537347,-0.15795059740816297,neg,dn,red,close,NO
1215,20210520 19:10:00,1.0125,1.0182,1.0125,1.0171,4298.398641360265,1.0168838695582463,1.0169480304615406,1.018935,0.00608659225372575,1.0067618154925484,1.0311081845074515,0.005700000000000038,0.0025999999999999357,0.0031000000000001027,0.005700000000000038,0.004774999999999996,1.0284849999999999,1.009385,1.0260974999999999,1.0117725,1.02371,1.01416,False,False,False,False,False,False,False,False,False,green,1.0304,1.0093,1.0174613295413448,2.0373113295413448,1215,-0.0015556647706724824,1476225,-1.8901326963670662,-0.21924101670212082,neg,dn,red,close,NO
1216,20210520 19:11:00,1.0149,1.0178,1.0149,1.0178,8438.71786292,1.017067095646597,1.0170088854285733,1.0191000000000001,0.006004209049970314,1.0070915819000594,1.0311084180999408,0.0029000000000001247,0.000700000000000145,0.0021999999999999797,0.0029000000000001247,0.0047800000000000065,1.0286600000000001,1.00954,1.0262700000000002,1.01193,1.0238800000000001,1.01432,False,False,False,False,False,False,False,False,False,green,1.0304,1.0093,1.0174935838707404,2.03734358387074,1216,-0.0008717919353700143,1478656,-1.0600989934099374,-0.27504799470423613,neg,dn,red,NO,NO
1217,20210520 19:12:00,1.017,1.0196,1.017,1.0196,62.78376192,1.0175736765172776,1.0171939650408182,1.0193699999999999,0.005892644835542866,1.0075847103289142,1.0311552896710856,0.0026000000000001577,0.0018000000000000238,0.0008000000000001339,0.0026000000000001577,0.004800000000000015,1.02897,1.0097699999999998,1.02657,1.0121699999999998,1.0241699999999998,1.01457,False,False,False,False,False,False,False,False,False,green,1.0304,1.0093,1.01769419493067,2.03754419493067,1217,0.000827902534665137,1481089,1.0075573846874717,-0.30992607684006135,neg,dn,red,NO,NO
1218,20210520 19:13:00,1.0197,1.0216,1.019,1.0192,607.09853272,1.0178989412138222,1.0173372532521883,1.0197749999999999,0.005563497101639788,1.0086480057967202,1.0309019942032795,0.0026000000000001577,0.0020000000000000018,0.000600000000000156,0.0026000000000001577,0.004685000000000028,1.029145,1.0104049999999998,1.0268024999999998,1.0127475,1.02446,1.0150899999999998,False,False,False,False,False,False,False,False,False,green,1.0304,1.0098,1.0178376049372726,2.0379376049372726,1218,0.0002311975313638026,1483524,0.2815985932011116,-0.3845844776870333,neg,dn,red,NO,NO
1219,20210520 19:14:00,1.0202,1.0202,1.0133,1.0133,11662.76671761,1.0169791529710577,1.0170488780198892,1.019875,0.005419251744811113,1.009036496510378,1.0307135034896222,0.006899999999999906,0.0009999999999998899,0.005900000000000016,0.006899999999999906,0.004810000000000025,1.029495,1.0102550000000001,1.02709,1.0126600000000001,1.024685,1.015065,False,False,False,False,False,False,False,False,False,green,1.0304,1.0098,1.0174054520861038,2.037505452086104,1219,-0.005452726043051914,1485961,-6.646873046480284,-0.5641359560016213,neg,dn,red,close,NO
1220,20210520 19:15:00,1.0132,1.0132,1.0082,1.0109,6064.77596007172,1.015763322376846,1.01660967244704,1.01948,0.005777779577143842,1.0079244408457122,1.0310355591542877,0.0050000000000001155,9.999999999998899e-05,0.0051000000000001044,0.0051000000000001044,0.004640000000000033,1.0287600000000001,1.0101999999999998,1.02644,1.0125199999999999,1.02412,1.01484,False,False,False,False,False,False,False,False,False,green,1.0304,1.0082,1.0167858852207605,2.0360858852207606,1220,-0.007142942610380398,1488400,-8.714389984664086,-0.696549878559205,neg,dn,red,close,NO
1221,20210520 19:16:00,1.0117,1.013,1.0103,1.0103,3156.095455476215,1.0146706579014768,1.0161589815579657,1.0189949999999999,0.006128318649812583,1.0067383627003748,1.031251637299625,0.0026999999999999247,0.0020999999999999908,0.0005999999999999339,0.0026999999999999247,0.004550000000000021,1.028095,1.0098949999999998,1.02582,1.0121699999999998,1.023545,1.0144449999999998,False,False,False,False,False,False,False,False,False,green,1.0304,1.0082,1.0161681818664023,2.035468181866402,1221,-0.007434090933201132,1490841,-9.077025029438582,-0.8101811826431993,neg,dn,red,close,NO
1222,20210520 19:17:00,1.0105,1.0113,1.0092,1.0092,1059.21057035,1.0135765263211813,1.0156619114466825,1.018275,0.006398756046867747,1.0054774879062645,1.0310725120937356,0.0020999999999999908,0.001000000000000112,0.0010999999999998789,0.0020999999999999908,0.0044300000000000225,1.0271350000000001,1.009415,1.02492,1.01163,1.022705,1.013845,False,False,False,False,False,False,False,False,False,green,1.0304,1.0082,1.0155045454981735,2.034804545498173,1222,-0.00820227274908647,1493284,-10.023177299383667,-0.8939173285132274,neg,dn,red,close,NO
1223,20210520 19:18:00,1.0122,1.013,1.0082,1.0121,1236.84631741,1.013281221056945,1.015407489200491,1.0175649999999998,0.00624746474895486,1.00507007050209,1.0300599294979096,0.0047999999999999154,0.0037999999999998035,0.001000000000000112,0.0047999999999999154,0.004515000000000024,1.026595,1.0085349999999997,1.0243375,1.0107924999999998,1.0220799999999999,1.0130499999999998,False,False,False,False,False,False,False,False,False,green,1.0304,1.0082,1.0151803030697761,2.034480303069776,1223,-0.0051401515348878934,1495729,-6.286405327167894,-0.8799660183151259,neg,up,yellow,close,NO
1224,20210520 19:19:00,1.0121,1.0181,1.0121,1.0158,3003.92445326,1.013784976845556,1.0154355256861702,1.0169099999999998,0.005655169968124983,1.0055996600637498,1.0282203399362497,0.006000000000000005,0.006000000000000005,0.0,0.006000000000000005,0.0045800000000000285,1.0260699999999998,1.0077499999999997,1.02378,1.0100399999999996,1.0214899999999998,1.0123299999999997,False,False,False,False,False,False,False,False,False,green,1.0304,1.0082,1.0152393218250357,2.0345393218250356,1224,-0.0014696609125177673,1498176,-1.7988649569217472,-0.7643349009238354,neg,up,yellow,close,NO
1225,20210520 19:20:00,1.0154,1.0176,1.0154,1.0176,55.34473604,1.0145479814764449,1.015590130994301,1.01627,0.004690090336910846,1.0068898193261784,1.0256501806738216,0.0021999999999999797,0.0018000000000000238,0.00039999999999995595,0.0021999999999999797,0.004495000000000027,1.02526,1.00728,1.0230125,1.0095275,1.020765,1.011775,False,False,False,False,False,False,False,False,False,green,1.0289,1.0082,1.0154641483178894,2.0340141483178895,1225,0.0005929258410553029,1500625,0.726334155292746,-0.5829628695434297,neg,up,yellow,close,NO
1226,20210520 19:21:00,1.0152,1.0152,1.0102,1.0102,2157.26505709,1.013678385181156,1.015205121637565,1.01554,0.004421050125308668,1.0066978997493827,1.0243821002506175,0.0050000000000001155,0.0023999999999999577,0.007400000000000073,0.007400000000000073,0.004585000000000028,1.0247100000000002,1.00637,1.0224175000000002,1.0086625,1.0201250000000002,1.010955,True,False,False,False,True,False,False,False,False,yellow,1.026,1.0082,1.0149628008590428,2.032062800859043,1226,-0.0058314004295214605,1503076,-7.14929692659331,-0.5626908955730425,neg,up,yellow,close,NO
1227,20210520 19:22:00,1.0104,1.0129,1.0076,1.012,5747.67090262,1.0133427081449249,1.014976184377739,1.01489,0.0038794872151611402,1.0071310255696777,1.0226489744303224,0.00529999999999986,0.0026999999999999247,0.0025999999999999357,0.00529999999999986,0.004600000000000026,1.0240900000000002,1.00569,1.0217900000000002,1.00799,1.01949,1.0102900000000001,True,False,False,True,False,False,False,False,False,pink,1.026,1.0076,1.0146806293486579,2.031480629348658,1227,-0.003740314674328893,1505529,-4.5893661054015515,-0.4864414225272312,neg,up,yellow,close,NO
1228,20210520 19:23:00,1.0139,1.0161,1.0134,1.0147,1255.05820476,1.01361416651594,1.0149564569221863,1.014495,0.00342920506362469,1.0076365898727506,1.0213534101272492,0.0026999999999999247,0.0040999999999999925,0.0014000000000000679,0.0040999999999999925,0.0045400000000000214,1.023575,1.005415,1.021305,1.007685,1.019035,1.009955,True,False,False,True,False,False,False,False,False,pink,1.0234,1.0076,1.0146824741725953,2.0301824741725953,1228,-0.00039123708629773546,1507984,-0.48043914197361914,-0.3585490421497334,neg,up,yellow,close,NO
1229,20210520 19:24:00,1.0162,1.0162,1.0129,1.0129,7391.20762375,1.013471333212752,1.01480956714203,1.0141300000000002,0.00316861251388156,1.007792774972237,1.0204672250277633,0.0033000000000000806,0.0015000000000000568,0.0018000000000000238,0.0033000000000000806,0.004585000000000028,1.0233000000000003,1.00496,1.0210075000000003,1.0072525,1.0187150000000003,1.0095450000000001,True,True,False,True,False,True,False,False,False,red,1.0234,1.0076,1.014512714727586,2.030012714727586,1229,-0.0021063573637931654,1510441,-2.5887132001018003,-0.2854542354132211,neg,up,yellow,close,NO
