,symbol,name,baseCurrency,quoteCurrency,feeCurrency,market,baseMinSize,quoteMinSize,baseMaxSize,quoteMaxSize,baseIncrement,quoteIncrement,priceIncrement,priceLimitRate,isMarginEnabled,enableTrading
323,VRA-BTC,VRA-BTC,VRA,BTC,BTC,BTC,100,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
324,VRA-USDT,VRA-USDT,VRA,USDT,USDT,USDS,100,0.01,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
325,KSM-BTC,KSM-BTC,KSM,BTC,BTC,Polkadot,0.01,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
326,KSM-USDT,KSM-USDT,KSM,USDT,USDT,Polkadot,0.01,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,True,True
327,DASH-USDT,DASH-USDT,DASH,USDT,USDT,USDS,0.0001,0.01,10000000000,99999999,0.0001,0.01,0.01,0.1,True,True
328,PMGT-USDT,PMGT-USDT,PMGT,USDT,USDT,USDS,0.00001,0.01,10000000000,99999999,0.00001,0.1,0.1,0.1,False,True
329,SUTER-USDT,SUTER-USDT,SUTER,USDT,USDT,DeFi,10,0.01,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
330,PMGT-BTC,PMGT-BTC,PMGT,BTC,BTC,BTC,0.00001,0.000001,10000000000,99999999,0.00001,0.00001,0.00001,0.1,False,True
331,ACOIN-USDT,ACOIN-USDT,ACOIN,USDT,USDT,USDS,0.001,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
332,SUTER-BTC,SUTER-BTC,SUTER,BTC,BTC,DeFi,10,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
333,SENSO-USDT,SENSO-USDT,SENSO,USDT,USDT,NFT,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
334,PRE-BTC,PRE-BTC,PRE,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.0000000001,0.0000000001,0.1,False,True
335,XDB-USDT,XDB-USDT,XDB,USDT,USDT,USDS,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
336,SYLO-USDT,SYLO-USDT,SYLO,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
337,WOM-USDT,WOM-USDT,WOM,USDT,USDT,USDS,20,1,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
338,SENSO-BTC,SENSO-BTC,SENSO,BTC,BTC,NFT,1,0.00001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
339,DGB-USDT,DGB-USDT,DGB,USDT,USDT,USDS,1,0.01,10000000000,99999999,0.0001,0.000001,0.000001,0.1,False,True
340,LYXE-USDT,LYXe-USDT,LYXe,USDT,USDT,NFT,0.1,0.1,10000000000,99999999,0.0001,0.00001,0.00001,0.1,False,True
341,LYXE-ETH,LYXe-ETH,LYXe,ETH,ETH,NFT,0.1,0.00001,10000000000,99999999,0.0001,0.0000001,0.0000001,0.1,False,True
342,XDB-BTC,XDB-BTC,XDB,BTC,BTC,BTC,1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
343,STX-BTC,STX-BTC,STX,BTC,BTC,BTC,0.1,0.000001,10000000000,99999999,0.0001,0.00000001,0.00000001,0.1,False,True
344,STX-USDT,STX-USDT,STX,USDT,USDT,USDS,0.1,0.01,10000000000,99999999,0.0001,0.0001,0.0001,0.1,False,True
